"wordID","wordContent","phonetic_EN","phonetic_US","definition","translation","wordTags","wordExchanges","bncLevel","frqLevel","collinsLevel","oxfordLevel","exampleSentences"
"608","a","ei","[eɪ]","n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen","第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步","zk gk","nullTag","5","5","5","1","Oh never metion it, a factory beside my house made noise all around yesterday, i'd gotta be deaf without an earplug.<br>别提了。昨天我家旁边的工厂不断发出噪音一整天，如果没有耳塞我可能就聋了。<br>Looks dry to me, but you may be able to squeeze out a few drops.<br>那个柠檬看来已经干了，但也许你还能挤出几滴汁来。<br>The shortish and baldish former gold salesman is about as far from the popular image of a Wall Street titan as you can get.<br>这位前“黄金推销员”个头不高，有些谢顶，远非你所想象的那种受欢迎的华尔街巨头。<br>Paltrow portrays an opportunistic thief with a willingness to lift the jewelry from the dead and a cold-hearted view of men.<br>帕特洛描绘与愿意取消从死者和一冷心肠的人认为是机会主义的珠宝窃贼。<br>Through chattering teeth, she told her that she was cold, that she wanted a sheet for her gurney.<br>她问，能不能给她个床单。她太冷了，牙齿都冷的一直在打架。<br>In recent years, Henry Hu, a finance professor at Texas University, has often been a thorn in the side of the banking world.<br>近些年，得克萨斯大学（TexasUniversity）金融学教授亨利•胡（HenryHu）屡屡被银行界视作眼中钉。<br>I suppose if I were East Indian, then I would be proud of it, but as such, I only pointed it out as a known fact.<br>如果我要是东印度人，那么我确实会骄傲，但我只是将那些当做众人皆知的事实说了出来。<br>The researcher as teacher differs from the previous analogies, and that very distinction is often thought to make him or her a good teacher.<br>把教师比作研究者与刚才的比拟不同，有个很大的差别就试，常常以为研究工作能使他或她成为好老师。<br>You really love the Man, with a total not to tell you thinking, because in fact his plan for you with the most beautiful real future.<br>真正爱你的男人，总告诉你不要胡思乱想，因为其实他在为你们谋划着最美丽真实的未来。<br>It was like they were taken into a bomb alley and attacked. They complained of brutality and shameful treatment.<br>就好象他们被带入了一条充满炸药的小路然后被攻击了。他们抱怨遭受到的野蛮而无耻的袭击。<br>"
"704","a bit","nullTag","nullTag","nullTag","一点儿；有一点儿","nullTag","nullTag","0","0","0","1","nullTag"
"898","a couple","nullTag","nullTag","nullTag","一对夫妇；夫妻俩","nullTag","nullTag","0","0","0","1","nullTag"
"1043","a few","nullTag","nullTag","nullTag","几个, 少数, 一些","nullTag","nullTag","0","0","0","1","nullTag"
"1350","A level","nullTag","nullTag","nullTag","n. 英国GCE考试甲级标准","nullTag","nullTag","0","0","2","0","nullTag"
"1362","a little","nullTag","nullTag","nullTag","一些, 一点点, 一点儿, 稍微, 些许","nullTag","nullTag","0","0","0","1","nullTag"
"1394","a lot","nullTag","nullTag","nullTag","大量, 很, 非常","nullTag","nullTag","0","0","0","1","nullTag"
"2312","A-road","'ei'rәjd","nullTag","nullTag","<英>A级公路,主车道","nullTag","nullTag","0","0","1","0","nullTag"
"2402","a.m.","nullTag","nullTag","s before noon\nr before noon","上午, 午前","nullTag","nullTag","0","0","2","0","nullTag"
"2441","AA","ɔ:","[ˌeɪ'eɪ]","n. a dry form of lava resembling clinkers","[计] 绝对地址, 农业自动化, 自动应答\n[医] 各, 各个","nullTag","nullTag","9087","0","0","0","After the encirclement of the German 9th Flak Division at Stalingrad it was the only Axis AA defence unit in the area.<br>在德国第9高炮师陷入斯大林格勒的包围圈后，罗马尼亚防空部队成为轴心国在该地区唯一的防空部队了。<br>Oh, and I should also mention that this mouse is said to last around nine months on two AA batteries.<br>噢，我应该还告诉你，这个鼠标用两节AA电池可以利用差不多九个月。<br>Hammering on this topic reminds me how I once sent a patient to AA who told me that those meetings ruined him as an alcoholic.<br>谈这个话题时，我想起了我送一个病人去匿名戒酒者协会时，他说这个聚会差点把他当酗酒者给毁了。<br>Goren said that the airline has seen a ""positive trend"" since the disputes broke out in terms of traffic to AA. com.<br>Goren指出美国航空已经看到了“良好的发展趋势”，因为自从这场纷争爆发后，AA.com的流量大增。<br>AA Corporation shall not be obliged to pay an invoice of Seller if the invoice has no reference to the order number.<br>如果发票中没有订单号，AA公司则没有义务向卖方支付该发票的金额。<br>It has a gray back, a black-and-white head and a pale yellow breast with a black stripe and weighs only about as much as a AA battery .<br>牠有著灰色的背部、黑白相间的头部，淡黄色的胸脯上有一条黑色条纹，体重相当于一颗三号电池。<br>The beauty of it is that you do not have to understand the complexities of secure AA access to a telecom HSS server.<br>此处的好处在于，您不必了解对电信HSS服务器的安全AA访问的复杂性。<br>Overall, a grubby 3 percent of the 18, 080 AA members surveyed admitted to washing their cars just once a year or not at all.<br>总体来看，18080位汽车协会会员中有3%的邋遢车主承认他们一年才洗一次车，或从来不洗车。<br>""There is not a dispersed ratings scale in China, everything seems to be rated double or triple A, "" he said.<br>“中国市场的信用等级过于集中，似乎所有债券的评级都是AA或AAA，”他表示。<br>I would like to know if he ate you how much time these drugs in AA?<br>我想知道他吃了这些药多少时间你们AA的？<br>"
